2026-08-03 19:35:07 | INFO     | database.db | تم تهيئة قاعدة البيانات بنجاح.
2026-08-03 19:35:07 | INFO     | scheduler.scheduler | تم تشغيل المجدول بنجاح، سيتم النشر كل ساعة تمامًا.
2026-08-03 19:35:07 | INFO     | __main__ | ✅ تم تشغيل البوت بنجاح.
2026-08-03 19:36:03 | INFO     | handlers.start | المستخدم 7666025637 بدأ استخدام البوت.
2026-08-03 19:36:36 | INFO     | handlers.start | المستخدم 7666025637 بدأ استخدام البوت.
2026-08-03 19:51:32 | INFO     | handlers.start | المستخدم 718795799 بدأ استخدام البوت.
2026-08-03 19:51:49 | INFO     | handlers.start | المستخدم 718795799 بدأ استخدام البوت.
2026-08-03 19:52:18 | INFO     | handlers.start | المستخدم 718795799 بدأ استخدام البوت.
2026-08-03 20:00:00 | INFO     | scheduler.scheduler | تم نشر تحديث الأسعار في القناة بنجاح.
2026-08-03 20:51:01 | INFO     | handlers.start | المستخدم 718795799 بدأ استخدام البوت.
2026-08-03 20:51:58 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 20:51:58 | WARNING  | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8839138509)
2026-08-03 20:52:04 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 20:52:04 | WARNING  | aiogram.dispatcher | Sleep for 1.454425 seconds and try again... (tryings = 1, bot id = 8839138509)
2026-08-03 20:52:09 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 20:52:09 | WARNING  | aiogram.dispatcher | Sleep for 1.908001 seconds and try again... (tryings = 2, bot id = 8839138509)
2026-08-03 20:52:16 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 20:52:16 | WARNING  | aiogram.dispatcher | Sleep for 2.398790 seconds and try again... (tryings = 3, bot id = 8839138509)
2026-08-03 21:27:53 | INFO     | database.db | تم تهيئة قاعدة البيانات بنجاح.
2026-08-03 21:27:53 | INFO     | scheduler.scheduler | تم تشغيل المجدول بنجاح، سيتم النشر كل ساعة تمامًا.
2026-08-03 21:27:53 | INFO     | __main__ | ✅ تم تشغيل البوت بنجاح.
2026-08-03 21:27:58 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:27:58 | WARNING  | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8839138509)
2026-08-03 21:28:03 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:03 | WARNING  | aiogram.dispatcher | Sleep for 1.272006 seconds and try again... (tryings = 1, bot id = 8839138509)
2026-08-03 21:28:09 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:09 | WARNING  | aiogram.dispatcher | Sleep for 1.629678 seconds and try again... (tryings = 2, bot id = 8839138509)
2026-08-03 21:28:16 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:16 | WARNING  | aiogram.dispatcher | Sleep for 2.135151 seconds and try again... (tryings = 3, bot id = 8839138509)
2026-08-03 21:28:25 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:25 | WARNING  | aiogram.dispatcher | Sleep for 2.663286 seconds and try again... (tryings = 4, bot id = 8839138509)
2026-08-03 21:28:31 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:31 | WARNING  | aiogram.dispatcher | Sleep for 3.435800 seconds and try again... (tryings = 5, bot id = 8839138509)
2026-08-03 21:28:39 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:39 | WARNING  | aiogram.dispatcher | Sleep for 4.385005 seconds and try again... (tryings = 6, bot id = 8839138509)
2026-08-03 21:28:49 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:49 | WARNING  | aiogram.dispatcher | Sleep for 5.218907 seconds and try again... (tryings = 7, bot id = 8839138509)
2026-08-03 21:28:59 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:28:59 | WARNING  | aiogram.dispatcher | Sleep for 5.068978 seconds and try again... (tryings = 8, bot id = 8839138509)
2026-08-03 21:29:10 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:29:10 | WARNING  | aiogram.dispatcher | Sleep for 4.832710 seconds and try again... (tryings = 9, bot id = 8839138509)
2026-08-03 21:29:19 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:29:19 | WARNING  | aiogram.dispatcher | Sleep for 4.952040 seconds and try again... (tryings = 10, bot id = 8839138509)
2026-08-03 21:29:29 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:29:29 | WARNING  | aiogram.dispatcher | Sleep for 4.853290 seconds and try again... (tryings = 11, bot id = 8839138509)
2026-08-03 21:29:39 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:29:39 | WARNING  | aiogram.dispatcher | Sleep for 5.100352 seconds and try again... (tryings = 12, bot id = 8839138509)
2026-08-03 21:29:49 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:29:49 | WARNING  | aiogram.dispatcher | Sleep for 4.937415 seconds and try again... (tryings = 13, bot id = 8839138509)
2026-08-03 21:30:00 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:00 | WARNING  | aiogram.dispatcher | Sleep for 5.028133 seconds and try again... (tryings = 14, bot id = 8839138509)
2026-08-03 21:30:10 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:10 | WARNING  | aiogram.dispatcher | Sleep for 5.089446 seconds and try again... (tryings = 15, bot id = 8839138509)
2026-08-03 21:30:20 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:20 | WARNING  | aiogram.dispatcher | Sleep for 4.963378 seconds and try again... (tryings = 16, bot id = 8839138509)
2026-08-03 21:30:30 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:30 | WARNING  | aiogram.dispatcher | Sleep for 5.027086 seconds and try again... (tryings = 17, bot id = 8839138509)
2026-08-03 21:30:41 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:41 | WARNING  | aiogram.dispatcher | Sleep for 4.959836 seconds and try again... (tryings = 18, bot id = 8839138509)
2026-08-03 21:30:51 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:30:51 | WARNING  | aiogram.dispatcher | Sleep for 5.133838 seconds and try again... (tryings = 19, bot id = 8839138509)
2026-08-03 21:31:01 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:01 | WARNING  | aiogram.dispatcher | Sleep for 4.940315 seconds and try again... (tryings = 20, bot id = 8839138509)
2026-08-03 21:31:11 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:11 | WARNING  | aiogram.dispatcher | Sleep for 5.016414 seconds and try again... (tryings = 21, bot id = 8839138509)
2026-08-03 21:31:21 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:21 | WARNING  | aiogram.dispatcher | Sleep for 4.859984 seconds and try again... (tryings = 22, bot id = 8839138509)
2026-08-03 21:31:32 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:32 | WARNING  | aiogram.dispatcher | Sleep for 5.022542 seconds and try again... (tryings = 23, bot id = 8839138509)
2026-08-03 21:31:42 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:42 | WARNING  | aiogram.dispatcher | Sleep for 5.027323 seconds and try again... (tryings = 24, bot id = 8839138509)
2026-08-03 21:31:52 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:31:52 | WARNING  | aiogram.dispatcher | Sleep for 4.933096 seconds and try again... (tryings = 25, bot id = 8839138509)
2026-08-03 21:32:02 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:02 | WARNING  | aiogram.dispatcher | Sleep for 4.889561 seconds and try again... (tryings = 26, bot id = 8839138509)
2026-08-03 21:32:12 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:12 | WARNING  | aiogram.dispatcher | Sleep for 4.962527 seconds and try again... (tryings = 27, bot id = 8839138509)
2026-08-03 21:32:22 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:22 | WARNING  | aiogram.dispatcher | Sleep for 4.963055 seconds and try again... (tryings = 28, bot id = 8839138509)
2026-08-03 21:32:32 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:32 | WARNING  | aiogram.dispatcher | Sleep for 5.009500 seconds and try again... (tryings = 29, bot id = 8839138509)
2026-08-03 21:32:43 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:43 | WARNING  | aiogram.dispatcher | Sleep for 5.113668 seconds and try again... (tryings = 30, bot id = 8839138509)
2026-08-03 21:32:53 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:32:53 | WARNING  | aiogram.dispatcher | Sleep for 5.192008 seconds and try again... (tryings = 31, bot id = 8839138509)
2026-08-03 21:33:03 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:33:03 | WARNING  | aiogram.dispatcher | Sleep for 5.046359 seconds and try again... (tryings = 32, bot id = 8839138509)
2026-08-03 21:33:14 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:33:14 | WARNING  | aiogram.dispatcher | Sleep for 5.027289 seconds and try again... (tryings = 33, bot id = 8839138509)
2026-08-03 21:33:24 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:33:24 | WARNING  | aiogram.dispatcher | Sleep for 4.852063 seconds and try again... (tryings = 34, bot id = 8839138509)
2026-08-03 21:33:34 | ERROR    | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-08-03 21:33:34 | WARNING  | aiogram.dispatcher | Sleep for 5.353895 seconds and try again... (tryings = 35, bot id = 8839138509)
